"341,01",5,5,10,BET,Entrada,Odd,P60,Media Movel 60,Acertos 60,Media Geral,,,Odd,P120,Media Movel 120,,Odd,P180,Media Movel 180,,Odd,P240,Media Movel 240,,Odd,P300,Media Movel 300,,Odd,P360,Media Movel 360,,Odd,P420,,,Odd,P480,,,Odd,P540,,,Odd,P600,,
84,"281,01",-10,0,0,1,-10,0,"-0,2667",-16,"-0,4118","-0,1141",,-10,,,,-10,,,,-10,,,0,-10,,,,-10,,,"0,0000",-10,,,,-10,,,0,-10,,,0,-10,,,0
85,"450,61",15,2,1,"47,18",5,0,"-0,4333",-26,"-0,3488","0,0629",,5,,,,5,,,,5,,,0,5,,,,5,,,"0,0000",5,,,,5,,,0,5,,,0,5,,,0
86,"450,61",-10,0,0,"1,95",0,0,"-0,3500",-21,"-0,3448","0,0040",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
87,"450,61",-10,0,0,"1,89",0,0,"-0,3500",-21,"-0,3409","0,0039",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
88,"450,61",15,2,0,"7,55",1,0,"-0,3500",-21,"-0,3258","0,0151",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
89,"450,61",15,2,0,"3,22",1,0,"-0,3333",-20,"-0,3111","0,0147",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
90,"450,61",-10,0,0,"1,11",0,0,"-0,3167",-19,"-0,3077","0,0034",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
91,"450,61",-10,0,0,"1,27",0,0,"-0,3167",-19,"-0,3043","0,0033",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
92,"450,61",15,2,0,"6,47",1,-10,"-0,3167",-19,"-0,2903","0,0140",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
93,"450,61",-10,0,0,"1,43",0,1,"-0,1333",-8,"-0,2872","0,0031",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
