"119,69","2,5","2,5",5,BET,Entrada,Odd,P60,P120,P180,P240,P300,P360,P420,P480,P540,P600,P660,P720,P780,P840,P900,P960,P1020,P1080,P1140,P1200,P1260,P1320,P1380,P1440,P1500,P1560,P1620,P1680,P1740,P1800,P1860,P1920,P1980,P1200,Media Movel,Acertos 60,,Media Geral,P120,P240,P360,P480,P600,P720,P840,P960,P1080,P1200,P1320,,P180,P360,P540,P720,P780,P900,P1080,P1260,P1440,,P240,P480,P720,P960,P1200,P1440,P1680,P1920,,P300,P600,P900,P1200,P1500,P1800,,P360,P720,P1080,,,,,Corr,,EntroAtual,EntroPass,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,P(1),P(0),LOG(P(1);2),LOG(P(2);2),,,,,,,
59,"119,69","-1,25",1,0,"1,79",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,,,,"0,2333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60,"119,69","6,25",2,0,"11,18",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"119,69","6,25",2,0,"34,79",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"119,69","6,25",2,0,"25,75",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"119,69","-1,25",1,0,"2,8",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
64,"119,69",-5,0,0,"1,12",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65,"119,69","-1,25",1,0,"2,08",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,"119,69","6,25",2,0,"11,47",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"119,69","-1,25",1,0,"1,62",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
68,"119,69","6,25",2,0,"3,93",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
