t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,PEARSON,DIFF_PEARSON,RATING1,RATING2,RATING3,,,
164,1,0,"0,5853658537",0,"0,4634146341",0,"0,3780487805",0,"0,2743902439",0,"0,1402439024",0,"0,09756097561",0,"0,03048780488",0,"0,01219512195",0,"0,4833333333","0,5035393853","-0,8267855091","0,001287324383","0,01666666667","-0,03333333333","-0,05","-0,06666666667","-0,01666666667","-0,05"
165,"1,07",0,"0,5818181818",0,"0,4606060606",0,"0,3757575758",0,"0,2727272727",0,"0,1393939394",0,"0,09696969697",0,"0,0303030303",0,"0,01212121212",0,"0,4833333333","0,5035393853","-0,8226534417","0,004132067409",0,"-0,03333333333","-0,03333333333","-0,08333333333",0,"-0,05"
166,"2,48",0,"0,578313253",0,"0,4578313253",0,"0,3734939759",0,"0,2710843373",0,"0,1385542169",0,"0,09638554217",0,"0,03012048193",0,"0,01204819277",0,"0,4666666667","0,5024529992","-0,7968652946","0,02578814705","-0,03333333333","-0,03333333333","-0,05","-0,1166666667","-0,01666666667","-0,08333333333"
167,"2,42",1,"0,5808383234",1,"0,4610778443",0,"0,371257485",0,"0,2694610778",0,"0,1377245509",0,"0,09580838323",0,"0,02994011976",0,"0,0119760479",1,"0,4666666667","0,5035393853","-0,7882372768","0,008628017825","-0,03333333333","-0,03333333333","-0,05","-0,1166666667","-0,01666666667","-0,1"
168,"198,04",1,"0,5833333333",1,"0,4642857143",0,"0,369047619",0,"0,2678571429",0,"0,1369047619",0,"0,09523809524",0,"0,02976190476",0,"0,0119047619",1,"0,4666666667","0,5035393853","-0,7798346819","0,008402594962","-0,03333333333","-0,01666666667","-0,05","-0,1166666667","-0,01666666667","-0,08333333333"
169,"4,07",1,"0,5857988166",1,"0,4674556213",1,"0,3727810651",1,"0,2721893491",1,"0,1420118343",1,"0,100591716",1,"0,03550295858",1,"0,01775147929",1,"0,4833333333","0,5040817004","-0,7829408172","-0,003106135316",0,"0,01666666667","-0,03333333333","-0,1",0,"-0,05"
170,"1,15",1,"0,5882352941",1,"0,4705882353",1,"0,3764705882",1,"0,2764705882",0,"0,1411764706",0,"0,1",0,"0,03529411765",0,"0,01764705882",1,"0,4833333333","0,5040817004","-0,7829408172",0,0,"0,01666666667","-0,03333333333","-0,1","-0,01666666667","-0,05"
171,"1,14",0,"0,5847953216",0,"0,4678362573",0,"0,3742690058",0,"0,2748538012",0,"0,1403508772",0,"0,09941520468",0,"0,0350877193",0,"0,01754385965",0,"0,5","0,5040817004","-0,7854881889","-0,002547371746","0,01666666667","0,01666666667","-0,01666666667","-0,06666666667",0,"-0,01666666667"
172,"3,78",0,"0,5813953488",0,"0,4651162791",0,"0,3720930233",0,"0,273255814",0,"0,1395348837",0,"0,0988372093",0,"0,03488372093",0,"0,01744186047",0,"0,4833333333","0,5035393853","-0,7822933948","0,003194794153","0,01666666667","-0,01666666667","-0,03333333333","-0,06666666667","-0,03333333333","-0,03333333333"
173,"13,75",1,"0,5838150289",1,"0,4682080925",1,"0,3757225434",1,"0,2774566474",0,"0,1387283237",0,"0,09826589595",0,"0,03468208092",0,"0,01734104046",1,"0,4833333333","0,5040817004","-0,7829408172","-0,0006474224075","0,01666666667","-0,01666666667","-0,01666666667","-0,05","-0,03333333333","-0,03333333333"
174,"11,14",1,"0,5862068966",1,"0,4712643678",1,"0,3793103448",1,"0,2816091954",1,"0,1436781609",1,"0,1034482759",0,"0,03448275862",0,"0,01724137931",1,"0,4833333333","0,5040817004","-0,783671052","-0,0007302348606","0,01666666667","-0,01666666667","-0,01666666667","-0,06666666667","-0,03333333333","-0,01666666667"
175,"1,2",1,"0,5885714286",1,"0,4742857143",1,"0,3828571429",1,"0,2857142857",1,"0,1485714286",1,"0,1085714286",0,"0,03428571429",0,"0,01714285714",1,"0,5","0,5040817004","-0,7877507195","-0,004079667474","0,01666666667","0,01666666667",0,"-0,05","-0,01666666667",0
176,1,0,"0,5852272727",0,"0,4715909091",0,"0,3806818182",0,"0,2840909091",0,"0,1477272727",0,"0,1079545455",0,"0,03409090909",0,"0,01704545455",0,"0,5","0,5040817004","-0,7898128761","-0,002062156631","0,01666666667","0,01666666667","-0,01666666667","-0,03333333333","-0,03333333333",0
177,"6,64",0,"0,581920904",0,"0,4689265537",0,"0,3785310734",0,"0,2824858757",0,"0,1468926554",0,"0,1073446328",0,"0,03389830508",0,"0,01694915254",0,"0,4833333333","0,5035393853","-0,7898773029","-0,00006442680188","-0,01666666667",0,"-0,03333333333","-0,03333333333","-0,05",0
178,"1,18",1,"0,5842696629",1,"0,4719101124",1,"0,3820224719",1,"0,2865168539",1,"0,1516853933",0,"0,106741573",0,"0,03370786517",0,"0,01685393258",1,"0,4666666667","0,5035393853","-0,7857870992","0,004090203695","-0,01666666667",0,"-0,03333333333","-0,05","-0,05","-0,01666666667"
179,"1,17",0,"0,5810055866",0,"0,469273743",0,"0,3798882682",0,"0,2849162011",0,"0,1508379888",0,"0,1061452514",0,"0,03351955307",0,"0,01675977654",0,"0,4666666667","0,5024529992","-0,7685163144","0,01727078481","-0,01666666667",0,"-0,03333333333","-0,05","-0,06666666667","-0,01666666667"
180,"1,35",0,"0,5777777778",0,"0,4666666667",0,"0,3777777778",0,"0,2833333333",0,"0,15",0,"0,1055555556",0,"0,03333333333",0,"0,01666666667",0,"0,4666666667","0,5024529992","-0,7589346576","0,009581656854","-0,01666666667",0,"-0,01666666667","-0,05","-0,08333333333","-0,01666666667"
181,"3,44",0,"0,5745856354",0,"0,4640883978",0,"0,3756906077",0,"0,2817679558",0,"0,1491712707",0,"0,1049723757",0,"0,03314917127",0,"0,01657458564",0,"0,45","0,5008190014","-0,7033652672","0,0555693904","-0,05","-0,03333333333","-0,01666666667","-0,06666666667","-0,1166666667","-0,03333333333"
182,"1,98",1,"0,5769230769",1,"0,467032967",1,"0,3791208791",0,"0,2802197802",0,"0,1483516484",0,"0,1043956044",0,"0,03296703297",0,"0,01648351648",1,"0,4333333333","0,5008190014","-0,6359689431","0,0673963241","-0,06666666667","-0,05","-0,03333333333","-0,08333333333","-0,1166666667","-0,06666666667"
