,Odd,Odd_Categoria,odd_entrada
783,5.15,10,1.0
784,1.07,2,10.0
785,1.14,2,2.0
786,65.72,11,2.0
787,1.8,6,11.0
788,3.41,8,6.0
789,661.0,11,8.0
790,7.27,10,11.0
791,1.45,5,10.0
792,1.44,4,5.0
793,479.53,11,4.0
794,2.59,7,11.0
795,15.07,11,7.0
796,1.17,3,11.0
797,1.02,1,3.0
798,3.19,8,1.0
799,3.99,9,8.0
800,16.69,11,9.0
801,1.41,4,11.0
802,13.75,11,4.0
803,2.02,6,11.0
804,3.82,9,6.0
805,6.87,10,9.0
806,1.3,4,10.0
807,25.14,11,4.0
808,1.41,4,11.0
809,2.3,7,4.0
810,1.0,1,7.0
811,1.11,2,1.0
812,2.04,6,2.0
813,2.34,7,6.0
814,5.62,10,7.0
815,4.3,9,10.0
816,2.1,7,9.0
817,2.91,8,7.0
818,2.02,6,8.0
819,544.44,11,6.0
820,1.86,6,11.0
821,1.29,3,6.0
822,1.22,3,3.0
823,1.58,5,3.0
824,2.95,8,5.0
825,23.64,11,8.0
826,1.05,2,11.0
827,92.98,11,2.0
828,6.53,10,11.0
829,2.03,6,10.0
830,2.37,7,6.0
831,1.73,6,7.0
832,2.7,8,6.0
833,1.56,5,8.0
834,1.05,2,5.0
835,1.85,6,2.0
836,16.55,11,6.0
837,3.8,9,11.0
838,12.93,11,9.0
839,1.8,6,11.0
840,2.39,7,6.0
841,1.3,4,7.0
842,1.2,3,4.0
843,3.9,9,3.0
844,3.06,8,9.0
845,3.84,9,8.0
846,1.0,1,9.0
847,1.12,2,1.0
848,1.74,6,2.0
849,1.08,2,6.0
850,5.23,10,2.0
851,1.55,5,10.0
852,5.92,10,5.0
853,2.4,7,10.0
854,83.98,11,7.0
855,1.08,2,11.0
856,21607.49,11,2.0
857,3.13,8,11.0
858,1.14,2,8.0
859,1.92,6,2.0
860,3.98,9,6.0
861,2.16,7,9.0
862,1.89,6,7.0
863,1.06,2,6.0
864,1.29,3,2.0
865,3.42,8,3.0
866,1.51,5,8.0
867,22.15,11,5.0
868,2.2,7,11.0
869,2.94,8,7.0
870,1.7,6,8.0
871,2.71,8,6.0
872,33.54,11,8.0
873,1.37,4,11.0
874,2.62,8,4.0
875,8.11,10,8.0
876,1.54,5,10.0
877,3.55,9,5.0
878,1.65,5,9.0
879,2.59,7,5.0
880,4.87,9,7.0
881,1.97,6,9.0
882,1.96,6,6.0
883,1.12,2,6.0
884,3.22,8,2.0
885,1.88,6,8.0
886,2.03,6,6.0
887,1.06,2,6.0
888,3.7,9,2.0
889,16.73,11,9.0
890,1.25,3,11.0
891,1.32,4,3.0
892,1.55,5,4.0
893,1.19,3,5.0
894,1.16,3,3.0
895,7.29,10,3.0
896,4.96,9,10.0
897,1.0,1,9.0
898,12.23,11,1.0
899,1.63,5,11.0
900,3.0,8,5.0
901,2.05,6,8.0
902,2.13,7,6.0
903,4.04,9,7.0
904,2.8,8,9.0
905,2.16,7,8.0
906,1.07,2,7.0
907,2.99,8,2.0
908,1.33,4,8.0
909,1.37,4,4.0
910,26.29,11,4.0
911,2.26,7,11.0
912,1.22,3,7.0
913,3.67,9,3.0
914,5.12,10,9.0
915,1.9,6,10.0
916,2.56,7,6.0
917,13.85,11,7.0
918,1.08,2,11.0
919,1.27,3,2.0
920,5.01,10,3.0
921,1.61,5,10.0
922,0.0,1,5.0
923,2.31,7,1.0
