t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,,,PEARSON,DIFF_PEARSON,,,,,RATING1,RATING2,RATING3,,,
540,"1,67",1,"0,5444444444",0,"0,4444444444",0,"0,3518518519",0,"0,2555555556",0,"0,1722222222",0,"0,09259259259",0,"0,0462962963",0,"0,01111111111",0,"0,4166666667","0,4958847037",1,1,"0,8821486784","0,002118352292","-0,08186779169","-0,00163486518","0,01489547551","0,00002462346484","0,01666666667","0,01666666667","-0,03333333333","-0,1166666667","-0,1","-0,03333333333"
541,"13,79",0,"0,5434380776",0,"0,4436229205",0,"0,3512014787",0,"0,2550831793",0,"0,1719038817",0,"0,09242144177",0,"0,04621072089",0,"0,01109057301",0,"0,4","0,4925677119",1,1,"0,8808919746","-0,001256703777","-0,08162467671","-0,00163486518","0,02715656478","0,00004638837721",0,0,"-0,03333333333","-0,1166666667","-0,1333333333","-0,06666666667"
542,1,1,"0,5442804428",1,"0,4446494465",1,"0,352398524",1,"0,2564575646",1,"0,1734317343",1,"0,09409594096",0,"0,04612546125",0,"0,0110701107",1,"0,3833333333","0,4925677119",0,1,"0,8875779136","0,006685939053","-0,1463191153","-0,002960673654","-0,03540831349","-0,00006270915464","-0,01666666667","-0,01666666667","-0,06666666667","-0,1166666667","-0,15","-0,08333333333"
543,"3,46",0,"0,5432780847",0,"0,4438305709",0,"0,3517495396",0,"0,255985267",0,"0,1731123389",0,"0,09392265193",0,"0,04604051565",0,"0,01104972376",0,"0,3833333333","0,4886694324",1,1,"0,8846161066","-0,002961807034","-0,1541728406","-0,003117441548","-0,01081023556","-0,00002044740013","-0,03333333333","-0,01666666667","-0,06666666667","-0,1166666667","-0,15","-0,1"
544,"4,31",1,"0,5441176471",1,"0,4448529412",1,"0,3529411765",0,"0,2555147059",0,"0,1727941176",0,"0,09375",0,"0,04595588235",0,"0,01102941176",1,"0,3666666667","0,4886694324",0,1,"0,9018142269","0,0171981203","-0,2371304614","-0,004819492968","-0,07995549497","-0,0001612094362","-0,06666666667","-0,03333333333","-0,06666666667","-0,1166666667","-0,15","-0,1333333333"
545,"1,29",1,"0,5449541284",1,"0,4458715596",1,"0,3541284404",1,"0,2568807339",0,"0,1724770642",0,"0,09357798165",0,"0,04587155963",0,"0,01100917431",1,"0,3833333333","0,4925677119",1,1,"0,912854136","0,01103990913","-0,2455468865","-0,004976260862","-0,1027769882","-0,0002129550607","-0,03333333333","-0,01666666667","-0,06666666667","-0,1","-0,1166666667","-0,1166666667"
546,"2,82",0,"0,543956044",0,"0,4450549451",0,"0,3534798535",0,"0,2564102564",0,"0,1721611722",0,"0,09340659341",0,"0,04578754579",0,"0,01098901099",0,"0,4","0,4925677119",1,1,"0,9218384409","0,008984304874","-0,2080057913","-0,004116276986","-0,06747479789","-0,0001421890941","-0,01666666667",0,"-0,03333333333","-0,06666666667","-0,08333333333","-0,1"
547,"8,96",1,"0,5447897623",1,"0,4460694698",1,"0,3546617916",0,"0,2559414991",0,"0,1718464351",0,"0,09323583181",0,"0,04570383912",0,"0,01096892139",1,"0,4","0,4958847037",0,0,"0,9240238054","0,002185364482","-0,2091156176","-0,004107318821","-0,07058925423","-0,0001493540682",0,0,"-0,03333333333","-0,06666666667","-0,08333333333","-0,08333333333"
548,"20,62",1,"0,545620438",1,"0,447080292",1,"0,3558394161",1,"0,2572992701",1,"0,1733576642",0,"0,09306569343",0,"0,04562043796",0,"0,01094890511",1,"0,4166666667","0,4986320084",0,1,"0,9212031315","-0,002820673912","-0,2047031646","-0,003995341754","-0,05988968349","-0,0001262718889","0,03333333333","0,01666666667","-0,01666666667","-0,03333333333","-0,06666666667","-0,05"
549,"1,46",1,"0,5464480874",1,"0,4480874317",1,"0,3570127505",1,"0,2586520947",1,"0,174863388",1,"0,09471766849",1,"0,04735883424",0,"0,01092896175",1,"0,4166666667","0,4986320084",1,0,"0,9181027944","-0,003100337038","-0,2379286526","-0,00462241333","-0,0850182129","-0,0001775320931","0,03333333333",0,"-0,01666666667","-0,01666666667","-0,05","-0,06666666667"
550,"1,3",0,"0,5454545455",0,"0,4472727273",0,"0,3563636364",0,"0,2581818182",0,"0,1745454545",0,"0,09454545455",0,"0,04727272727",0,"0,01090909091",0,"0,4333333333","0,4986320084",0,1,"0,9167180622","-0,001384732192","-0,2218205194","-0,00427304488","-0,06914788185","-0,0001432424397","0,06666666667",0,"0,01666666667","-0,01666666667","-0,03333333333","-0,06666666667"
