t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,PEARSON,DIFF_PEARSON,,,,,RATING1,RATING2,RATING3,,,
97,"5,01",1,"0,5360824742",1,"0,4845360825",1,"0,3608247423",1,"0,2577319588",0,"0,1237113402",0,"0,0618556701",0,"0,0206185567",0,"0,01030927835",1,"0,5166666667","0,5035393853",,,,,,,"0,01666666667","0,03333333333","0,05","0,05",,
98,"1,53",1,"0,5408163265",1,"0,4897959184",1,"0,3673469388",1,"0,2653061224",0,"0,1224489796",0,"0,0612244898",0,"0,02040816327",0,"0,01020408163",1,"0,5333333333","0,5024529992",,,,,,,"0,05","0,05","0,06666666667","0,06666666667",,
99,"1,63",0,"0,5353535354",0,"0,4848484848",0,"0,3636363636",0,"0,2626262626",0,"0,1212121212",0,"0,06060606061",0,"0,0202020202",0,"0,0101010101",0,"0,55","0,5024529992",,,,,,,"0,06666666667","0,06666666667","0,1","0,06666666667",,
100,"1,21",0,"0,53",0,"0,48",0,"0,36",0,"0,26",0,"0,12",0,"0,06",0,"0,02",0,"0,01",0,"0,55","0,5024529992",,,,,,,"0,05","0,06666666667","0,08333333333","0,06666666667",,
101,"1,53",0,"0,5247524752",0,"0,4752475248",0,"0,3564356436",0,"0,2574257426",0,"0,1188118812",0,"0,05940594059",0,"0,0198019802",0,"0,009900990099",0,"0,55","0,5024529992",,,,,,,"0,05","0,05","0,08333333333","0,06666666667",,
102,"5,88",0,"0,5196078431",0,"0,4705882353",0,"0,3529411765",0,"0,2549019608",0,"0,1176470588",0,"0,05882352941",0,"0,01960784314",0,"0,009803921569",0,"0,5333333333","0,5035393853",,,,,,,"0,03333333333","0,03333333333","0,05","0,06666666667",,
103,"2,68",1,"0,5242718447",1,"0,4757281553",1,"0,359223301",1,"0,2621359223",0,"0,1165048544",0,"0,05825242718",0,"0,01941747573",0,"0,009708737864",1,"0,5166666667","0,5035393853",,,,,,,0,"0,01666666667","0,03333333333","0,03333333333",,
104,"1,92",1,"0,5288461538",1,"0,4807692308",0,"0,3557692308",0,"0,2596153846",0,"0,1153846154",0,"0,05769230769",0,"0,01923076923",0,"0,009615384615",1,"0,5166666667","0,5035393853",,,,,,,"-0,01666666667","0,03333333333","0,03333333333","0,03333333333",,
105,"4,56",1,"0,5333333333",0,"0,4761904762",0,"0,3523809524",0,"0,2571428571",0,"0,1142857143",0,"0,05714285714",0,"0,01904761905",0,"0,009523809524",0,"0,5166666667","0,5040817004",,,,,,,"-0,03333333333","0,03333333333","0,03333333333","0,03333333333",,
106,"2,18",1,"0,5377358491",1,"0,4811320755",1,"0,358490566",1,"0,2641509434",0,"0,1132075472",0,"0,05660377358",0,"0,01886792453",0,"0,009433962264",1,"0,5166666667","0,5035393853",,,,,,,"-0,03333333333","0,01666666667","0,01666666667","0,03333333333",,
